sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
86,1,وَٱلسَّمَآءِ وَٱلطَّارِقِ,وَالسَّمَاءِ وَالطَّارِقِ,5.88,8.97,0.8666666666666667,Success,Last word matched,No Overlap
86,4,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,إِنْ كُلُّ نَفْسٍ لَمَّا عَلَيْهَا حَافِظٌ,18.08,23.36,1.0,Success,Last word matched,No Overlap
86,5,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,فَلْيَنْظُرِ الْإِنْسَانُ مِمَّ خُلِقَ,24.47,29.0,0.926829268292683,Success,Last word matched,No Overlap
86,6,خُلِقَ مِن مَّآءٖ دَافِقٖ,خُلِقَ مِنْ مَاءٍ دَافِقٍ,29.81,35.1,1.0,Success,Last word matched,No Overlap
86,7,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,يَخْرُجُ مِنْ بَيْنِ الصُّلْبِ وَالتَّرَائِبِ,36.0,41.48,0.9230769230769231,Success,Last word matched,No Overlap
86,8,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,إِنَّهُ عَلَى رَجْعِهِ لَقَادِرٌ,42.4,46.38,0.9473684210526315,Success,Last word matched,No Overlap
86,9,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,يَوْمَ تُبْلَى السَّرَاءِ,47.24,50.62,0.8387096774193549,Success,Last word matched,No Overlap
86,10,فَمَا لَهُۥ مِن قُوَّةٖ وَلَا نَاصِرٖ,فَمَا لَهُ مِنْ قُوَّةٍ وَلَا نَاصِرٍ,51.48,56.46,0.9777777777777777,Success,Last word matched,No Overlap
86,11,وَٱلسَّمَآءِ ذَاتِ ٱلرَّجۡعِ,وَالسَّمَاءِ ذَاتِ الرَّجْعِ,57.62,61.02,0.8823529411764706,Success,Last word matched,No Overlap
86,12,وَٱلۡأَرۡضِ ذَاتِ ٱلصَّدۡعِ,وَالْأَرْضِ ذَاتِ الصَّدْعِ,61.83,64.02,0.875,Success,Last word matched,No Overlap
86,13,إِنَّهُۥ لَقَوۡلٞ فَصۡلٞ,إِنَّهُ لَقَوْلٌ فَصْلٌ,64.85,68.35,0.96,Success,Last word matched,No Overlap
86,14,وَمَا هُوَ بِٱلۡهَزۡلِ,وَمَا هُوَ بِالْهَزْلِ,69.11,70.95,0.9230769230769231,Success,Last word matched,No Overlap
86,15,إِنَّهُمۡ يَكِيدُونَ كَيۡدٗا,إِنَّهُمْ يَكِيدُونَ كَيْدًا,71.72,75.31,1.0,Success,Last word matched,No Overlap
86,16,وَأَكِيدُ كَيۡدٗا,وَأَكِيدُ كَيْدًا,76.08,78.14,1.0,Success,Last word matched,No Overlap
86,17,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,فَمَهِّلِ الْكَافِرِينَ أَمْهِلْهُمْ رُوَيْدًا,78.98,83.9,0.9411764705882353,Success,Last word matched,No Overlap
