id,sura_id,index,text,juz,quarter,page
5496,74,1,يَٰٓأَيُّهَا ٱلۡمُدَّثِّرُ,29,230,575
5497,74,2,قُمۡ فَأَنذِرۡ,29,230,575
5498,74,3,وَرَبَّكَ فَكَبِّرۡ,29,230,575
5499,74,4,وَثِيَابَكَ فَطَهِّرۡ,29,230,575
5500,74,5,وَٱلرُّجۡزَ فَٱهۡجُرۡ,29,230,575
5501,74,6,وَلَا تَمۡنُن تَسۡتَكۡثِرُ,29,230,575
5502,74,7,وَلِرَبِّكَ فَٱصۡبِرۡ,29,230,575
5503,74,8,فَإِذَا نُقِرَ فِي ٱلنَّاقُورِ,29,230,575
5504,74,9,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,29,230,575
5505,74,10,عَلَى ٱلۡكَٰفِرِينَ غَيۡرُ يَسِيرٖ,29,230,575
5506,74,11,ذَرۡنِي وَمَنۡ خَلَقۡتُ وَحِيدٗا,29,230,575
5507,74,12,وَجَعَلۡتُ لَهُۥ مَالٗا مَّمۡدُودٗا,29,230,575
5508,74,13,وَبَنِينَ شُهُودٗا,29,230,575
5509,74,14,وَمَهَّدتُّ لَهُۥ تَمۡهِيدٗا,29,230,575
5510,74,15,ثُمَّ يَطۡمَعُ أَنۡ أَزِيدَ,29,230,575
5511,74,16,كـَلَّآۖ إِنَّهُۥ كَانَ لِأٓيَٰتِنَا عَنِيدٗا,29,230,575
5512,74,17,سَأُرۡهِقُهُۥ صَعُودًا,29,230,575
5513,74,18,إِنَّهُۥ فَكَّرَ وَقَدَّرَ,29,230,576
5514,74,19,فَقُتِلَ كَيۡفَ قَدَّرَ,29,230,576
5515,74,20,ثُمَّ قُتِلَ كَيۡفَ قَدَّرَ,29,230,576
5516,74,21,ثُمَّ نَظَرَ,29,230,576
5517,74,22,ثُمَّ عَبَسَ وَبَسَرَ,29,230,576
5518,74,23,ثُمَّ أَدۡبَرَ وَٱسۡتَكۡبَرَ,29,230,576
5519,74,24,فَقَالَ إِنۡ هَٰذَآ إِلَّا سِحۡرٞ يُؤۡثَرُ,29,230,576
5520,74,25,إِنۡ هَٰذَآ إِلَّا قَوۡلُ ٱلۡبَشَرِ,29,230,576
5521,74,26,سَأُصۡلِيهِ سَقَرَ,29,230,576
5522,74,27,وَمَآ أَدۡرَىٰكَ مَا سَقَرُ,29,230,576
5523,74,28,لَا تُبۡقِي وَلَا تَذَرُ,29,230,576
5524,74,29,لَوَّاحَةٞ لِّلۡبَشَرِ,29,230,576
5525,74,30,عَلَيۡهَا تِسۡعَةَ عَشَرَ,29,230,576
5526,74,31,وَمَا جَعَلۡنَآ أَصۡحَٰبَ ٱلنَّارِ إِلَّا مَلَٰٓئِكَةٗۖ وَمَا جَعَلۡنَا عِدَّتَهُمۡ إِلَّا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ لِيَسۡتَيۡقِنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَيَزۡدَادَ ٱلَّذِينَ ءَامَنُوٓاْ إِيمَٰنٗا وَلَا يَرۡتَابَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَٱلۡمُؤۡمِنُونَ وَلِيَقُولَ ٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٞ وَٱلۡكَٰفِرُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۚ كَذَٰلِكَ يُضِلُّ ٱللَّهُ مَن يَشَآءُ وَيَهۡدِي مَن يَشَآءُۚ وَمَا يَعۡلَمُ جُنُودَ رَبِّكَ إِلَّا هُوَۚ وَمَا هِيَ إِلَّا ذِكۡرَىٰ لِلۡبَشَرِ,29,230,576
5527,74,32,كـَلَّا وَٱلۡقَمَرِ,29,230,576
5528,74,33,وَٱلَّيۡلِ إِذۡ أَدۡبَرَ,29,230,576
5529,74,34,وَٱلصُّبۡحِ إِذَآ أَسۡفَرَ,29,230,576
5530,74,35,إِنَّهَا لَإِحۡدَى ٱلۡكُبَرِ,29,230,576
5531,74,36,نَذِيرٗا لِّلۡبَشَرِ,29,230,576
5532,74,37,لِمَن شَآءَ مِنكُمۡ أَن يَتَقَدَّمَ أَوۡ يَتَأَخَّرَ,29,230,576
5533,74,38,كُلُّ نَفۡسِۭ بِمَا كَسَبَتۡ رَهِينَةٌ,29,230,576
5534,74,39,إِلَّآ أَصۡحَٰبَ ٱلۡيَمِينِ,29,230,576
5535,74,40,فِي جَنَّٰتٖ يَتَسَآءَلُونَ,29,230,576
5536,74,41,عَنِ ٱلۡمُجۡرِمِينَ,29,230,576
5537,74,42,مَا سَلَكَكُمۡ فِي سَقَرَ,29,230,576
5538,74,43,قَالُواْ لَمۡ نَكُ مِنَ ٱلۡمُصَلِّينَ,29,230,576
5539,74,44,وَلَمۡ نَكُ نُطۡعِمُ ٱلۡمِسۡكِينَ,29,230,576
5540,74,45,وَكُنَّا نَخُوضُ مَعَ ٱلۡخَآئِضِينَ,29,230,576
5541,74,46,وَكُنَّا نُكَذِّبُ بِيَوۡمِ ٱلدِّينِ,29,230,576
5542,74,47,حَتَّىٰٓ أَتَىٰنَا ٱلۡيَقِينُ,29,230,576
5543,74,48,فَمَا تَنفَعُهُمۡ شَفَٰعَةُ ٱلشَّٰفِعِينَ,29,230,577
5544,74,49,فَمَا لَهُمۡ عَنِ ٱلتَّذۡكِرَةِ مُعۡرِضِينَ,29,230,577
5545,74,50,كَأَنَّهُمۡ حُمُرٞ مُّسۡتَنفِرَةٞ,29,230,577
5546,74,51,فَرَّتۡ مِن قَسۡوَرَةِۭ,29,230,577
5547,74,52,بَلۡ يُرِيدُ كُلُّ ٱمۡرِيٕٖ مِّنۡهُمۡ أَن يُؤۡتَىٰ صُحُفٗا مُّنَشَّرَةٗ,29,230,577
5548,74,53,كـَلَّاۖ بَل لَّا يَخَافُونَ ٱلۡأٓخِرَةَ,29,230,577
5549,74,54,كـَلَّآ إِنَّهُۥ تَذۡكِرَةٞ,29,230,577
5550,74,55,فَمَن شَآءَ ذَكَرَهُۥ,29,230,577
5551,74,56,وَمَا يَذۡكُرُونَ إِلَّآ أَن يَشَآءَ ٱللَّهُۚ هُوَ أَهۡلُ ٱلتَّقۡوَىٰ وَأَهۡلُ ٱلۡمَغۡفِرَةِ,29,230,577
